GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tourguide,com.openclassrooms.tourguide.helper,InternalTestHelper,3,8,0,0,1,4,1,3,1,3
tourguide,com.openclassrooms.tourguide.service,TourGuideService,54,309,4,2,12,72,6,20,3,20
tourguide,com.openclassrooms.tourguide.service,TourGuideService.new Thread() {...},0,11,0,0,0,3,0,2,0,2
tourguide,com.openclassrooms.tourguide.service,RewardsService,16,185,1,9,5,41,2,15,1,11
tourguide,com.openclassrooms.tourguide.user,UserPreferences,35,18,0,0,15,7,10,1,10,1
tourguide,com.openclassrooms.tourguide.user,UserReward,16,12,0,0,7,5,3,1,3,1
tourguide,com.openclassrooms.tourguide.user,User,49,86,0,6,18,25,12,10,12,7
tourguide,com.openclassrooms.tourguide.tracker,Tracker,5,90,1,3,3,26,1,6,0,5
tourguide,com.openclassrooms.tourguide,TourguideApplication,5,3,0,0,2,1,1,1,1,1
tourguide,com.openclassrooms.tourguide.module,TourGuideModule,0,19,0,0,0,4,0,4,0,4
tourguide,com.openclassrooms.tourguide.dto,NearbyAttractionDTO,206,25,34,0,5,8,30,2,13,2
tourguide,com.openclassrooms.tourguide.controller,TourGuideController,66,3,0,0,10,1,7,1,7,1
